Data;Godzina;Minuty;Wolumen
2002-02-12;12;0;17998.50
2002-02-12;14;0;17814.20
2002-02-12;16;0;17328.40
2002-02-12;18;0;19108.40
2002-02-12;20;0;18972.70
2002-02-12;22;0;17079.40
2002-02-12;24;0;15272.50
2002-02-13;2;0;14989.60
2002-02-13;4;0;14987.40
2002-02-13;6;0;16100.10
2002-02-13;8;0;17195.30
2002-02-13;10;0;17658.60
2002-02-13;12;0;18078.70
2002-02-13;14;0;17821.20
2002-02-13;16;0;17136.30
2002-02-13;18;0;18951.70
2002-02-13;20;0;19062.60
2002-02-13;22;0;17163.20
2002-02-13;24;0;15966.30
2002-02-14;2;0;15250.20
2002-02-14;4;0;15374.10
2002-02-14;6;0;16202.60
2002-02-14;8;0;17643.60
2002-02-14;10;0;17984.30
2002-02-14;12;0;18291.00
2002-02-14;14;0;17942.60
2002-02-14;16;0;17396.00
2002-02-14;18;0;19726.10
2002-02-14;20;0;19389.10
2002-02-14;22;0;17679.20
2002-02-14;24;0;15970.90
2002-02-15;2;0;15359.70
2002-02-15;4;0;16108.20
2002-02-15;6;0;16435.70
2002-02-15;8;0;18066.30
2002-02-15;10;0;18280.70
2002-02-15;12;0;18255.00
2002-02-15;14;0;17610.10
2002-02-15;16;0;17068.90
2002-02-15;18;0;19534.30
2002-02-15;20;0;19159.90
2002-02-15;22;0;17417.40
2002-02-15;24;0;15673.40
2002-02-16;2;0;15332.40
2002-02-16;4;0;15483.10
2002-02-16;6;0;15468.80
2002-02-16;8;0;15656.90
2002-02-16;10;0;16629.60
2002-02-16;12;0;16740.70
2002-02-16;14;0;16224.00
2002-02-16;16;0;15634.30
2002-02-16;18;0;18157.30
2002-02-16;20;0;17922.40
2002-02-16;22;0;16471.00
2002-02-16;24;0;14476.20
2002-02-17;2;0;13753.20
2002-02-17;4;0;13733.20
2002-02-17;6;0;14001.40
2002-02-17;8;0;13950.00
2002-02-17;10;0;14115.80
2002-02-17;12;0;14263.10
2002-02-17;14;0;13844.80
2002-02-17;16;0;13415.20
2002-02-17;18;0;16096.60
2002-02-17;20;0;16479.10
2002-02-17;22;0;15390.70
2002-02-17;24;0;14490.20
2002-02-18;2;0;14253.50
2002-02-18;4;0;14330.60
2002-02-18;6;0;15249.70
2002-02-18;8;0;17902.70
2002-02-18;10;0;18153.30
2002-02-18;12;0;18345.60
2002-02-18;14;0;17995.90
2002-02-18;16;0;17588.10
2002-02-18;18;0;19574.90
2002-02-18;20;0;19355.10
2002-02-18;22;0;17255.00
2002-02-18;24;0;15290.90
2002-02-19;2;0;15023.50
2002-02-19;4;0;15526.70
2002-02-19;6;0;16292.80
2002-02-19;8;0;17827.80
2002-02-19;10;0;18092.90
2002-02-19;12;0;18275.20
2002-02-19;14;0;17898.00
2002-02-19;16;0;17653.60
2002-02-19;18;0;19727.90
2002-02-19;20;0;19406.40
2002-02-19;22;0;17214.70
2002-02-19;24;0;15668.00
2002-02-20;2;0;15161.30
2002-02-20;4;0;15658.90
2002-02-20;6;0;16474.00
2002-02-20;8;0;18090.10
2002-02-20;10;0;18464.00
2002-02-20;12;0;18822.90
2002-02-20;14;0;18652.20
2002-02-20;16;0;18306.30
2002-02-20;18;0;19947.50
2002-02-20;20;0;19631.20
2002-02-20;22;0;17531.10
2002-02-20;24;0;16207.80
2002-02-21;2;0;15629.40
2002-02-21;4;0;15647.20
2002-02-21;6;0;16249.10
2002-02-21;8;0;18102.70
2002-02-21;10;0;18345.30
2002-02-21;12;0;18514.70
2002-02-21;14;0;18401.10
2002-02-21;16;0;18253.10
2002-02-21;18;0;20057.40
2002-02-21;20;0;19704.70
2002-02-21;22;0;17799.30
2002-02-21;24;0;16670.20
2002-02-22;2;0;16278.00
2002-02-22;4;0;16141.90
2002-02-22;6;0;16685.60
2002-02-22;8;0;18425.50
2002-02-22;10;0;18592.30
2002-02-22;12;0;18907.70
2002-02-22;14;0;18652.70
2002-02-22;16;0;18228.40
2002-02-22;18;0;20054.90
2002-02-22;20;0;19724.60
2002-02-22;22;0;17834.50
2002-02-22;24;0;16290.70
2002-02-23;2;0;15737.00
2002-02-23;4;0;15626.80
2002-02-23;6;0;15517.30
2002-02-23;8;0;15526.80
2002-02-23;10;0;16786.50
2002-02-23;12;0;17170.00
2002-02-23;14;0;16959.50
2002-02-23;16;0;16438.20
2002-02-23;18;0;18570.30
2002-02-23;20;0;18112.40
2002-02-23;22;0;16392.70
2002-02-23;24;0;14714.30
2002-02-24;2;0;13719.00
2002-02-24;4;0;13925.20
2002-02-24;6;0;14222.50
2002-02-24;8;0;14439.40
2002-02-24;10;0;14547.40
2002-02-24;12;0;14837.80
2002-02-24;14;0;14621.70
2002-02-24;16;0;14408.70
2002-02-24;18;0;16412.20
2002-02-24;20;0;16830.40
2002-02-24;22;0;15799.70
2002-02-24;24;0;14407.00
2002-02-25;2;0;14263.70
2002-02-25;4;0;14462.30
2002-02-25;6;0;16238.70
2002-02-25;8;0;18055.70
2002-02-25;10;0;18726.50
2002-02-25;12;0;18990.80
2002-02-25;14;0;18780.10
2002-02-25;16;0;18173.40
2002-02-25;18;0;19943.20
2002-02-25;20;0;19725.60
2002-02-25;22;0;17806.90
2002-02-25;24;0;16127.50
2002-02-26;2;0;15906.00
2002-02-26;4;0;16156.70
2002-02-26;6;0;16805.90
2002-02-26;8;0;18448.90
2002-02-26;10;0;18991.30
2002-02-26;12;0;19450.60
2002-02-26;14;0;18988.20
2002-02-26;16;0;18374.90
2002-02-26;18;0;20038.30
2002-02-26;20;0;19642.90
2002-02-26;22;0;17458.20
2002-02-26;24;0;16368.70
2002-02-27;2;0;15772.10
2002-02-27;4;0;15723.40
2002-02-27;6;0;16174.90
2002-02-27;8;0;17918.20
2002-02-27;10;0;18229.10
2002-02-27;12;0;18583.50
2002-02-27;14;0;18180.00
2002-02-27;16;0;17582.20
2002-02-27;18;0;19349.10
2002-02-27;20;0;19464.60
2002-02-27;22;0;17440.10
2002-02-27;24;0;15597.00
2002-02-28;2;0;15741.40
2002-02-28;4;0;15779.60
2002-02-28;6;0;16547.90
2002-02-28;8;0;17889.20
2002-02-28;10;0;18459.70
2002-02-28;12;0;18414.80
2002-02-28;14;0;18043.60
2002-02-28;16;0;17397.00
2002-02-28;18;0;19362.80
2002-02-28;20;0;19265.30
2002-02-28;22;0;17266.10
2002-02-28;24;0;16128.80
2002-03-01;2;0;15527.30
2002-03-01;4;0;15656.40
2002-03-01;6;0;16277.50
2002-03-01;8;0;17755.10
2002-03-01;10;0;17911.20
2002-03-01;12;0;18202.60
2002-03-01;14;0;17815.00
2002-03-01;16;0;17192.00
2002-03-01;18;0;18951.80
2002-03-01;20;0;19009.40
2002-03-01;22;0;17299.00
2002-03-01;24;0;15453.10
2002-03-02;2;0;15035.10
2002-03-02;4;0;14895.10
2002-03-02;6;0;14983.00
2002-03-02;8;0;15160.20
2002-03-02;10;0;16360.90
2002-03-02;12;0;16466.10
2002-03-02;14;0;16192.90
2002-03-02;16;0;15600.00
2002-03-02;18;0;17823.80
2002-03-02;20;0;17796.80
2002-03-02;22;0;16215.50
2002-03-02;24;0;14564.00
2002-03-03;2;0;13824.20
2002-03-03;4;0;13728.70
2002-03-03;6;0;13714.10
2002-03-03;8;0;13706.60
2002-03-03;10;0;14328.60
2002-03-03;12;0;14444.90
2002-03-03;14;0;14249.20
2002-03-03;16;0;13714.80
2002-03-03;18;0;15891.60
2002-03-03;20;0;16797.80
2002-03-03;22;0;15573.70
2002-03-03;24;0;14196.50
2002-03-04;2;0;14163.10
2002-03-04;4;0;14629.80
2002-03-04;6;0;15746.20
2002-03-04;8;0;17830.80
2002-03-04;10;0;18325.20
2002-03-04;12;0;18617.20
2002-03-04;14;0;18298.10
2002-03-04;16;0;17576.60
2002-03-04;18;0;19212.10
2002-03-04;20;0;19296.10
2002-03-04;22;0;17153.00
2002-03-04;24;0;15838.80
2002-03-05;2;0;15672.70
2002-03-05;4;0;15283.50
2002-03-05;6;0;15722.00
2002-03-05;8;0;17718.20
2002-03-05;10;0;17804.00
2002-03-05;12;0;17711.60
2002-03-05;14;0;17358.40
2002-03-05;16;0;16817.00
2002-03-05;18;0;18770.00
2002-03-05;20;0;19249.00
2002-03-05;22;0;17066.90
2002-03-05;24;0;15835.10
2002-03-06;2;0;15394.50
2002-03-06;4;0;15397.50
2002-03-06;6;0;15545.70
2002-03-06;8;0;17588.10
2002-03-06;10;0;17678.90
2002-03-06;12;0;17619.10
2002-03-06;14;0;17391.10
2002-03-06;16;0;16876.90
2002-03-06;18;0;18759.30
2002-03-06;20;0;19027.20
2002-03-06;22;0;17135.40
2002-03-06;24;0;15347.10
2002-03-07;2;0;15076.60
2002-03-07;4;0;15216.60
2002-03-07;6;0;15580.20
2002-03-07;8;0;17531.80
2002-03-07;10;0;17889.90
2002-03-07;12;0;18202.70
2002-03-07;14;0;17986.90
2002-03-07;16;0;17443.80
2002-03-07;18;0;18632.10
2002-03-07;20;0;19180.90
2002-03-07;22;0;17242.70
2002-03-07;24;0;15668.90
2002-03-08;2;0;15620.00
2002-03-08;4;0;15515.20
2002-03-08;6;0;15692.20
2002-03-08;8;0;17602.40
2002-03-08;10;0;17833.60
2002-03-08;12;0;18127.00
2002-03-08;14;0;17541.70
2002-03-08;16;0;16831.00
2002-03-08;18;0;18386.70
2002-03-08;20;0;18774.50
2002-03-08;22;0;17041.60
2002-03-08;24;0;15669.20
2002-03-09;2;0;15218.00
2002-03-09;4;0;15125.00
2002-03-09;6;0;14705.90
2002-03-09;8;0;15194.50
2002-03-09;10;0;16200.00
2002-03-09;12;0;16388.90
2002-03-09;14;0;15741.80
2002-03-09;16;0;15306.40
2002-03-09;18;0;17091.40
2002-03-09;20;0;17645.90
2002-03-09;22;0;15870.50
2002-03-09;24;0;14098.80
2002-03-10;2;0;13346.30
2002-03-10;4;0;13714.70
2002-03-10;6;0;13151.60
2002-03-10;8;0;13810.10
2002-03-10;10;0;14049.30
2002-03-10;12;0;14394.00
2002-03-10;14;0;14051.80
2002-03-10;16;0;13463.50
2002-03-10;18;0;15038.50
2002-03-10;20;0;16569.00
2002-03-10;22;0;15294.40
2002-03-10;24;0;14057.30
2002-03-11;2;0;14129.80
2002-03-11;4;0;14111.10
2002-03-11;6;0;14593.40
2002-03-11;8;0;17185.50
2002-03-11;10;0;17506.00
2002-03-11;12;0;17351.60
2002-03-11;14;0;16902.90
2002-03-11;16;0;16157.60
2002-03-11;18;0;17622.50
2002-03-11;20;0;18989.50
2002-03-11;22;0;16904.90
2002-03-11;24;0;15163.90
2002-03-12;2;0;15110.40
2002-03-12;4;0;15101.10
2002-03-12;6;0;15291.10
2002-03-12;8;0;17262.60
2002-03-12;10;0;17207.00
2002-03-12;12;0;17081.00
2002-03-12;14;0;16740.90
2002-03-12;16;0;16175.60
2002-03-12;18;0;17778.30
2002-03-12;20;0;18879.60
2002-03-12;22;0;16754.90
2002-03-12;24;0;15401.30
2002-03-13;2;0;15124.60
2002-03-13;4;0;15119.20
2002-03-13;6;0;15360.80
2002-03-13;8;0;17220.10
2002-03-13;10;0;17344.40
2002-03-13;12;0;17362.90
2002-03-13;14;0;16952.90
2002-03-13;16;0;16419.70
2002-03-13;18;0;17636.10
2002-03-13;20;0;18943.10
2002-03-13;22;0;16926.20
2002-03-13;24;0;15681.20
2002-03-14;2;0;15067.10
2002-03-14;4;0;15116.40
2002-03-14;6;0;15163.60
2002-03-14;8;0;17457.10
2002-03-14;10;0;17626.80
2002-03-14;12;0;17923.40
